Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;mistake
1547631702637;-0.22739895;-0.05572836;-0.2754304;-9.2687025;884;251;0
1547631702686;-0.107634455;-0.00143117;-0.3419798;-8.792409;879;251;0
1547631702762;0.04405211;0.08159414;-0.22752112;-10.601621;868;254;0
1547631702813;-0.10072295;-0.06424557;-0.3148225;-9.031504;859;255;0
1547631702862;-0.03577925;0.02942625;-0.32866296;-9.058836;834;248;0
1547631702913;-0.055990163;0.045396015;-0.36379644;-9.517066;814;247;0
1547631702962;-0.12573352;0.08372344;-0.36433747;-10.051625;804;244;0
1547631703012;-0.14063863;0.069359384;-0.329204;-9.7980795;788;245;0
1547631703062;-0.2923601;0.048066366;-0.27171287;-9.667987;771;245;0
1547631703113;-0.2886251;0.003874631;-0.27436575;-9.655126;753;248;0
1547631703163;-0.3386637;0.14814354;-0.23816763;-9.775487;744;257;0
1547631703213;-0.26361454;0.16144295;-0.21793926;-9.911775;741;263;0
1547631703262;-0.10550515;0.1364324;-0.16364206;-9.950369;737;265;0
1547631703313;-0.03790855;0.06190683;-0.1322436;-9.82726;731;266;0
1547631703363;-0.068783425;-0.11534881;-0.1263793;-9.520467;713;267;0
1547631703413;-0.054942966;-0.12280136;-0.11147418;-9.508448;704;274;0
1547631703462;-0.033649947;-0.10363765;-0.1391551;-9.494552;698;281;0
1547631703513;-0.121474914;-0.12332497;-0.17057103;-9.712204;703;284;0
1547631703563;-0.12733923;-0.099902645;-0.07740535;-9.981896;707;286;0
1547631703613;-0.14276794;-0.06583382;0.00720821;-9.968077;710;288;0
1547631703662;-0.12201597;-0.05412266;0.07482226;-9.913844;716;290;0
1547631703712;-0.1001819;-0.032306045;0.089186326;-9.732794;725;289;0
1547631703762;-0.070912726;-0.071157075;0.12273155;-9.86912;739;283;0
1547631703812;-0.10976376;-0.06211627;0.08866273;-9.722661;753;280;0
1547631703862;-0.1001819;-0.044540804;0.053529248;-9.624891;764;278;0
1547631703912;-0.08049458;-0.039217547;0.03968879;-9.510947;775;276;0
1547631703962;-0.031520646;-0.111090206;0.03330088;-9.770345;785;272;0
1547631704012;0.04724606;-0.11641346;0.053529248;-9.792237;793;274;0
